lesson_id,grade,module,lesson,title,objectives,i_can,language_objectives,key_questions,big_idea,content_standards,content_standards_list,ad_codes,ad_texts,ad_full,laag
GK-M5-L15,K,5,15,Identify the action in a problem to represent and solve it.,Identify the action in a problem to represent and solve it.,I can show what happens in a math story. I can write a number sentence to match.,"Listen to a story and orally explain how to solve the problem it presents by acting it out, using tools, and writing a number sentence.",How do you decide whether to write an addition sentence or a subtraction sentence for a story?,Being Flexible Within 10 Model with Numbers,K.OA.A.1; K.OA.A.2,"[""K.OA.A.1"", ""K.OA.A.2""]","[""K.Mod5.AD2"", ""K.Mod5.AD3"", ""K.Mod5.AD4"", ""K.Mod5.AD6""]","[""Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations."", ""Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations."", ""Solve add to, take from, put together, and take apart with result unknown story problems within 10 by using addition and subtraction."", ""Add and subtract within 10 by using objects, drawings, or other math tools.""]","[K.Mod5.AD2] Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations. [K.Mod5.AD3] Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations. [K.Mod5.AD4] Solve add to, take from, put together, and take apart with result unknown story problems within 10 by using addition and subtraction. [K.Mod5.AD6] Add and subtract within 10 by using objects, drawings, or other math tools.","After studying addition and subtraction separately, students are ready to work with these operations in the same lesson. They make sense of different problem types by acting out stories or modeling the action with tools. Modeling the action helps students determine whether to write an addition sentence or a subtraction sentence to represent the story."
GK-M5-L16,K,5,16,Relate addition and subtraction through word problems.,Relate addition and subtraction through word problems.,I can show how addition and subtraction are alike with a number bond. I can show how they are different with a number sentence.,Listen to a story and orally discuss how addition and subtraction are related by using a number bond and a number sentence.,How are addition and subtraction alike? How are addition and subtraction different?,Being Flexible Within 10 Model with Numbers,K.OA.A.1; K.OA.A.2,"[""K.OA.A.1"", ""K.OA.A.2""]","[""K.Mod5.AD2"", ""K.Mod5.AD3"", ""K.Mod5.AD4"", ""K.Mod5.AD6""]","[""Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations."", ""Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations."", ""Solve add to, take from, put together, and take apart with result unknown story problems within 10 by using addition and subtraction."", ""Add and subtract within 10 by using objects, drawings, or other math tools.""]","[K.Mod5.AD2] Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations. [K.Mod5.AD3] Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations. [K.Mod5.AD4] Solve add to, take from, put together, and take apart with result unknown story problems within 10 by using addition and subtraction. [K.Mod5.AD6] Add and subtract within 10 by using objects, drawings, or other math tools.","In this lesson, students use the context of word problems, number bonds, and number sentences to see how addition and subtraction are related. They see that by using the same numbers, they can subtract to undo an addition problem. Students play a game and strategize whether to move forward or backward on a number path to reach the target number."
GK-M5-L17,K,5,17,Reason about different units to solve story problems.,Reason about different units to solve story problems.,I can choose tools to solve a story problem with equal groups. I can tell how I know.,"Orally share different strategies for representing and solving a problem (including drawings, cubes, fingers, and number bonds). Orally compare each representation and solution and connect them to the story context.",How can we use groups to help us count or solve problems?,Being Flexible Within 10 Model with Numbers,K.OA.A.2,"[""K.OA.A.2""]","[""K.Mod5.AD4"", ""K.Mod5.AD6""]","[""Solve add to, take from, put together, and take apart with result unknown story problems within 10 by using addition and subtraction."", ""Add and subtract within 10 by using objects, drawings, or other math tools.""]","[K.Mod5.AD4] Solve add to, take from, put together, and take apart with result unknown story problems within 10 by using addition and subtraction. [K.Mod5.AD6] Add and subtract within 10 by using objects, drawings, or other math tools.","This lesson explores story problems and pictures that involve reasoning about different units within the same situation. For example, if you can see 8 legs, how many giraffes are there? Students self-select tools to represent the situations by making equal groups for counting. The class writes number sentences to represent thinking."
GK-M5-L18,K,5,18,Count starting from a number other than 1 to find the total.,Count starting from a number other than 1 to find the total.,I can start counting from different numbers to find the total.,"As a class, orally compare the efficiency of counting from 1 with counting on from another number.",What does it mean to count on?,How Many?,K.OA.A.2,"[""K.OA.A.2""]","[""K.Mod5.AD1""]","[""Count forward from a number other than 1.""]",[K.Mod5.AD1] Count forward from a number other than 1.,"Counting from a number other than 1 is foundational to the Level 2 counting on strategy. In this lesson, students use their subitizing skills to count a group starting from a number other than 1. Students have a chance to compare the efficiency of counting from 1 with counting from another number."
GK-M5-L19,K,5,19,Represent and solve take from with change unknown problems.,Represent and solve take from with change unknown problems.,I can choose tools to find a hidden part.,Orally share and discuss solution pathways for finding a hidden part (including fingers and number paths). Orally compare and connect each solution pathway to the story context.,Why can some problems be solved by using either addition or subtraction?,Being Flexible Within 10 Model with Numbers,K.OA.A.1,"[""K.OA.A.1""]","[""K.Mod5.AD2"", ""K.Mod5.AD3""]","[""Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations."", ""Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations.""]","[K.Mod5.AD2] Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations. [K.Mod5.AD3] Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations.","This lesson introduces a problem type that students are not expected to master until grade 1. The goal is to make sense of the context and consider entry points for solving the problem. Students practice explaining their thinking by using models, drawings, and number sentences and through playing a game."
GK-M5-L20,K,5,20,Find the number that makes 10 and record with a number sentence.,Find the number that makes 10 and record with a number sentence.,I can choose tools to find partners to 10 with weight and length.  I can write a number sentence to match.,"Orally explain how to use weight, length, and fingers to find partners to 10. With a partner, orally discuss ways to find an unknown partner to 10 and write a number sentence to match.",What are some ways to find partners to 10?,Being Flexible Within 10,K.OA.A.4,"[""K.OA.A.4""]","[""K.Mod5.AD8""]","[""Find the partner to 10 for any number 1\u20139.""]",[K.Mod5.AD8] Find the partner to 10 for any number 1–9.,"This lesson builds on the comparison work of module 3. Students apply what they know about comparing weight and length to find partners to 10. Given a number of cubes, they add more to balance the scale or match the length of a 10-stick of cubes. Students write number sentences to represent the partners to 10 that they find."
GK-M5-L21,K,5,21,Organize drawings to solve problems efficiently.,Organize drawings to solve problems efficiently.,I can draw to show the parts and total. I can write a number sentence to match.,Orally compare how efficient different kinds of math drawings are when they are used to represent and solve a story problem. Orally compare and connect each representation and solution to the story context.,Why is it helpful to organize drawings?,Being Flexible Within 10 Model with Numbers,K.OA.A.1,"[""K.OA.A.1""]","[""K.Mod5.AD2"", ""K.Mod5.AD3""]","[""Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations."", ""Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations.""]","[K.Mod5.AD2] Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations. [K.Mod5.AD3] Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations.",Students make math drawings to represent and solve a story problem that involves partners to 10. Students discuss and compare different math drawings that show the same problem. They begin to identify the features of a useful math drawing. This lesson introduces the term organize.
GK-M5-L22,K,5,22,Identify and extend linear patterns.,Identify and extend linear patterns.,I can find a pattern. I can add more to a pattern.,"Listen to and follow directions to identify a pattern unit. Orally describe, create, and extend a pattern.",How can you tell when something is a pattern?,How Many?,K.CC.A.2,"[""K.CC.A.2""]","[""K.Mod5.AD1""]","[""Count forward from a number other than 1.""]",[K.Mod5.AD1] Count forward from a number other than 1.,"This lesson expands student understanding of part–whole relationships to include patterns. Students look for a pattern unit, the part that repeats, in linear patterns. They replicate and extend patterns by using movements, materials, and letters. This lesson introduces the term pattern."
GK-M5-L23,K,5,23,Use a pattern to make a prediction.,Use a pattern to make a prediction.,I can use a pattern to decide what comes next.  I can create a pattern.,"Orally describe characteristics of a pattern and generalize how to use patterns to make predictions. With a partner, orally describe a pattern and how to extend a pattern.",What is a pattern? Why is a pattern helpful?,How Many?,K.CC.A.2,"[""K.CC.A.2""]","[""K.Mod5.AD1""]","[""Count forward from a number other than 1.""]",[K.Mod5.AD1] Count forward from a number other than 1.,Students continue to engage with patterns by watching a video of a toy car going down a set of three ramps. Students organize data as they watch the video. They discuss what makes a pattern and use patterns to make predictions. The structure of this lesson makes use of the Five Framing Questions routine.
GK-M5-L24,K,5,24,Solve story problems by using repeated reasoning.,Solve story problems by using repeated reasoning.,I can use a pattern to solve a story problem. I can find groups of 2 and write a number sentence to match.,"As a class, orally analyze relationships in a story context to find and extend patterns.",How do we describe a pattern?,Being Flexible Within 10 Model with Numbers,K.OA.A.1,"[""K.OA.A.1""]","[""K.Mod5.AD2""]","[""Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations.""]","[K.Mod5.AD2] Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations.","Students return to the familiar bouncy house story from lesson 17. They use repeated addition to find how many shoes are outside, given different numbers of children inside. Students discuss the relationship between the number of children and the number of shoes and find patterns. They use repeated reasoning to extend the pattern."
GK-M5-L25,K,5,25,Extend growing patterns.,Extend growing patterns.,I can find a number pattern. I can use the pattern to decide what comes next.,"Orally describe patterns found in the environment. As a class, orally analyze relationships in a story context to find and extend growing patterns.",What is the same about number patterns and other kinds of patterns?,Being Flexible Within 10,K.G.B.6,"[""K.G.B.6""]","[""K.Mod4.AD5""]","[""Compose shapes to form larger shapes.""]",[K.Mod4.AD5] Compose shapes to form larger shapes.,"Students activate their knowledge about patterns by analyzing a quilt. Students then work with a number, or growing pattern. They look at a birthday picture album and discover a growth pattern of 1. Then students build towers from triangles and discover a more complex growing pattern."
GK-M5-L26,K,5,26,Reason about numbers to add and subtract.,Reason about numbers to add and subtract.,I can find patterns to solve problems. I can use numbers to make true number sentences. I can find different partners to 10.,"Orally generalize about numbers to find and extend a pattern. With a partner, orally discuss ways to find an unknown partner to 10 and write a number sentence to match.",In what ways did you get better at adding and subtracting?,Being Flexible Within 10 Model with Numbers,K.OA.A.1; K.OA.A.4,"[""K.OA.A.1"", ""K.OA.A.4""]","[""K.Mod5.AD2"", ""K.Mod5.AD3"", ""K.Mod5.AD8""]","[""Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations."", ""Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations."", ""Find the partner to 10 for any number 1\u20139.""]","[K.Mod5.AD2] Represent addition with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations. [K.Mod5.AD3] Represent subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations. [K.Mod5.AD8] Find the partner to 10 for any number 1–9.","This lesson includes three activities to present as stations or rotations. Each activity invites students to practice adding or subtracting in different ways. For example, in one activity they look for and apply growth patterns, and in another they manipulate Hide Zero cards to make true number sentences. There is no Fluency component in this lesson."
GK-M5-L27,K,5,27,"Organize, count, and represent a collection of objects.","Organize, count, and represent a collection of objects.",I can use groups of 5 or 10 to count a collection. I can write a number sentence to show how I counted.,"Listen to and orally describe strategies to use to organize, count, and record a collection of objects, including by using number sentences, groups of 5, and groups of 10.",How can a number sentence help us explain how we counted?,How Many?,K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5,"[""K.CC.A.1"", ""K.CC.A.2"", ""K.CC.A.3"", ""K.CC.B.4"", ""K.CC.B.5""]","[""""]","[""This lesson supports K.CC.1\u20135, the counting and writing numeral standards. These concepts build from the work in module 1 and get more sophisticated as the counting quantities get larger in subsequent modules. This content is intended to serve as a formative assessment and is therefore not included on summative assessments in this module.""]","This lesson supports K.CC.1–5, the counting and writing numeral standards. These concepts build from the work in module 1 and get more sophisticated as the counting quantities get larger in subsequent modules. This content is intended to serve as a formative assessment and is therefore not included on summative assessments in this module.",This lesson invites students to count and record a collection of objects by using tools and strategies of their choice. Students demonstrate and celebrate growth with counting concepts and written recordings while the teacher gathers formative assessment data. Class discussion focuses on recording with number sentences and counting from a number greater than 1. There is no Fluency component in this lesson.
GK-M6-L1,K,6,1,Describe teen numbers as 10 ones and ones.,Describe teen numbers as 10 ones and ones.,I can count past 10 by making a group of 10. I can use 10 ones and some ones to tell how many.,"As a class, orally compare what it is like to count with and without organizing objects into a group of 10 ones. Orally describe different strategies to determine how many objects by using the terms 10 ones and some more ones.",How did making a group of 10 help you count?,How Many? Place and Position of Numbers Model with Numbers,K.CC.B.5; K.NBT.A.1,"[""K.CC.B.5"", ""K.NBT.A.1""]","[""K.Mod6.AD5"", ""K.Mod6.AD8""]","[""Count to answer how many questions about as many as 20 things arranged in a line, a rectangular array, or a circle configuration."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones.""]","[K.Mod6.AD5] Count to answer how many questions about as many as 20 things arranged in a line, a rectangular array, or a circle configuration. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones.",Module 6 introduces students to basic place value concepts as they engage with teen numbers. Students count and describe groups of 10–19 objects as 10 ones and some more ones. Comparing the organization of different groups of objects helps students recognize the value of making a group of 10 to help them count. This lesson introduces the term ones.
GK-M6-L2,K,6,2,Find 10 ones in a teen number.,Find 10 ones in a teen number.,I can find 10 ones in a larger number. I can use a number path to find numbers with 10 ones in them.,"As a class, orally compare the efficiency of counting objects in different configurations. Use a number bond to record the numbers that have 10 ones inside, and orally justify why those numbers were identified.",When do numbers have 10 inside?,How Many? Place and Position of Numbers Model with Numbers,K.CC.A.1; K.NBT.A.1,"[""K.CC.A.1"", ""K.NBT.A.1""]","[""K.Mod6.AD1"", ""K.Mod6.AD8""]","[""Count to 100 by ones and tens."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones.""]",[K.Mod6.AD1] Count to 100 by ones and tens. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones.,Students continue to explore place value concepts by searching for groups of 10 inside collections of 1–20 objects. Students use a number path to track which numbers contain a group of 10 and which do not. The number path provides a visual record that allows students to reason about the results of their tracking.
GK-M6-L3,K,6,3,Write numerals 11–20.,Write numerals 11–20.,I can write how many. I can tell how many groups of 10 ones and some ones are in a number.,"As a class, analyze and orally describe the patterns associated with counting from 1 to 30. Orally explain how to write numerals greater than 10.",What does the 1 in a teen number represent?,How Many? Place and Position of Numbers Model with Numbers,K.CC.A.3; K.NBT.A.1,"[""K.CC.A.3"", ""K.NBT.A.1""]","[""K.Mod6.AD2"", ""K.Mod6.AD3"", ""K.Mod6.AD8""]","[""Write numbers from 11 to 20."", ""Represent a group of objects with a written numeral 0\u201320."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones.""]",[K.Mod6.AD2] Write numbers from 11 to 20. [K.Mod6.AD3] Represent a group of objects with a written numeral 0–20. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones.,"Once students have organized collections of 10–20 objects as 10 ones and some more ones, they are better prepared to understand the meaning of the digit in the tens place. In this lesson, an authentic counting context provides reason for writing numerals to 20. Hide Zero cards and math tools highlight the underlying structure of ten in our counting as students learn to represent their count with a written numeral."
GK-M6-L4,K,6,4,Order numerals 0–20.,Order numerals 0–20.,I can say the next number when I count past 10. I can count back from 20 to 0. I can show the number that comes before or after.,Orally explain the pattern of 1 more in the forward count sequence within teen numbers. Orally describe the movement on a number path as the quantity increases or decreases.,How do you know which number comes next in the count sequence? How do you know which number comes before?,How Many? Bigger or Equal? Place and Position of Numbers Model with Numbers,K.CC.B.4.c; K.NBT.A.1,"[""K.CC.B.4.c"", ""K.NBT.A.1""]","[""K.Mod6.AD4"", ""K.Mod6.AD8"", ""K.Mod6.AD9""]","[""Recognize that each successive number is one more when counting within 20."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones."", ""Record teen numbers as ten ones and some more ones with a drawing or number sentence.""]",[K.Mod6.AD4] Recognize that each successive number is one more when counting within 20. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones. [K.Mod6.AD9] Record teen numbers as ten ones and some more ones with a drawing or number sentence.,Students continue to think about patterns in the counting sequence as they write and order numbers. They return to the 1 more and 1 less patterns embedded in the forward and backward count sequences. Students expand the number stairs into the teen numbers to see if the pattern continues.
GK-M6-L5,K,6,5,Reason about a number’s position in the number sequence.,Reason about a number’s position in the number sequence.,I can put numbers in order. I can tell how I know.,Orally justify the placement of a number within the teen number sequence.,How do you know where to put a number on the number path?,How Many?,K.CC.A.1; K.CC.A.2,"[""K.CC.A.1"", ""K.CC.A.2""]","[""K.Mod6.AD1"", ""K.Mod5.AD1""]","[""Count to 100 by ones and tens."", ""Count forward from a number other than 1.""]",[K.Mod6.AD1] Count to 100 by ones and tens. [K.Mod5.AD1] Count forward from a number other than 1.,Students apply their understanding of the relationship among teen numbers to determine a number’s position on the number path. They become number detectives and strategize to identify an unknown number within the teen number sequence.
GK-M6-L6,K,6,6,Count out a group of objects to match a numeral.,Count out a group of objects to match a numeral.,I can make a group of 10 ones and some ones to match a number greater than 10.,Orally justify the choice of a math tool to model teen numbers and explain how it is helpful. Orally explain how to match a numeral to a group of ten ones and some more ones.,How can tools help you see how many without having to count by ones? How can organizing help you count out the right number of objects?,How Many? Place and Position of Numbers Model with Numbers,K.CC.B.5; K.NBT.A.1,"[""K.CC.B.5"", ""K.NBT.A.1""]","[""K.Mod6.AD6"", ""K.Mod6.AD8"", ""K.Mod6.AD9""]","[""Count out a given number of up to 20 objects from a larger group."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones."", ""Record teen numbers as ten ones and some more ones with a drawing or number sentence.""]",[K.Mod6.AD6] Count out a given number of up to 20 objects from a larger group. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones. [K.Mod6.AD9] Record teen numbers as ten ones and some more ones with a drawing or number sentence.,"Now that students can count an existing group of up to 20 objects to answer how many questions, they are ready to count out a group of 11–20 objects from a larger group. This lesson invites students to show teen numbers in different ways by using drawings and tools that use the structure of ten. Emphasis is placed on organizing so others can easily see the total."
GK-M6-L7,K,6,7,Decompose numbers 10–20 with 10 as a part.,Decompose numbers 10–20 with 10 as a part.,I can use a number bond to break apart numbers greater than 10 into 10 ones and some ones.,"Use a number bond to orally describe teen numbers with words and number statements, such as 17 is 10 and 7.",How can number bonds help us better understand numbers?,How Many? Place and Position of Numbers Model with Numbers,K.CC.B.5; K.NBT.A.1,"[""K.CC.B.5"", ""K.NBT.A.1""]","[""K.Mod6.AD5"", ""K.Mod6.AD8"", ""K.Mod6.AD9""]","[""Count to answer how many questions about as many as 20 things arranged in a line, a rectangular array, or a circle configuration."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones."", ""Record teen numbers as ten ones and some more ones with a drawing or number sentence.""]","[K.Mod6.AD5] Count to answer how many questions about as many as 20 things arranged in a line, a rectangular array, or a circle configuration. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones. [K.Mod6.AD9] Record teen numbers as ten ones and some more ones with a drawing or number sentence.",This lesson brings what students already know about number bonds together with their emerging understanding of teen numbers. Students use the structure of the number bond to represent a teen total as 10 ones and some more ones. Practice decomposing teen numbers in this way supports place value understanding and prepares students to use Level 3 strategies in grade 1.
GK-M6-L8,K,6,8,Represent teen number compositions and decompositions as addition sentences.,Represent teen number compositions and decompositions as addition sentences.,I can choose a tool to put together 10 ones and some ones in a story. I can write an addition sentence to match a story or picture.,Orally share strategies to represent and solve a story problem involving teen numbers. Orally compare and connect each strategy to a number sentence.,How do you know when a number bond or number sentence matches a story or picture?,Place and Position of Numbers Model with Numbers,K.OA.A.2; K.NBT.A.1,"[""K.OA.A.2"", ""K.NBT.A.1""]","[""K.Mod6.AD7"", ""K.Mod6.AD8"", ""K.Mod6.AD9""]","[""Solve add to, take from, put together, and take apart with result unknown story problems with 10 as one of the parts by using addition and subtraction."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones."", ""Record teen numbers as ten ones and some more ones with a drawing or number sentence.""]","[K.Mod6.AD7] Solve add to, take from, put together, and take apart with result unknown story problems with 10 as one of the parts by using addition and subtraction. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones. [K.Mod6.AD9] Record teen numbers as ten ones and some more ones with a drawing or number sentence.",Students solve an add to with result unknown problem by using self-selected tools to represent the parts. A video sets the context for the problem. Then students use what they know about the structure of teen numbers to compose and decompose. They discuss how their thinking can be represented by using number sentences and number bonds.
GK-M6-L9,K,6,9,Represent teen number decompositions as subtraction sentences.,Represent teen number decompositions as subtraction sentences.,I can choose a tool to break apart a number into 10 ones and some ones in a story. I can write a subtraction sentence to match a story or picture.,Orally share a story problem and justify why a subtraction sentence can be used to represent the story. Orally compare and connect each representation to a number sentence.,How do you know when a subtraction sentence matches a story or picture?,Place and Position of Numbers Model with Numbers,K.OA.A.2; K.NBT.A.1,"[""K.OA.A.2"", ""K.NBT.A.1""]","[""K.Mod6.AD7"", ""K.Mod6.AD8"", ""K.Mod6.AD9""]","[""Solve add to, take from, put together, and take apart with result unknown story problems with 10 as one of the parts by using addition and subtraction."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones."", ""Record teen numbers as ten ones and some more ones with a drawing or number sentence.""]","[K.Mod6.AD7] Solve add to, take from, put together, and take apart with result unknown story problems with 10 as one of the parts by using addition and subtraction. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones. [K.Mod6.AD9] Record teen numbers as ten ones and some more ones with a drawing or number sentence.","Students use what they know about subtraction to decompose a teen number. In this lesson, each decomposition includes 10 as a part. Students solve a take away with result unknown problem by using tools to represent the action. They see that the story can be represented with a subtraction sentence."
GK-M6-L10,K,6,10,Make sense of word problems involving teen numbers.,Make sense of word problems involving teen numbers.,I can use a drawing to solve story problems. I can match a drawing to a number sentence.,Listen to and solve a story problem. Orally make a statement to put the answer in context.,How do you decide whether to write an addition or subtraction sentence for a story?,Place and Position of Numbers Model with Numbers,K.OA.A.2; K.NBT.A.1,"[""K.OA.A.2"", ""K.NBT.A.1""]","[""K.Mod6.AD7"", ""K.Mod6.AD8"", ""K.Mod6.AD9""]","[""Solve add to, take from, put together, and take apart with result unknown story problems with 10 as one of the parts by using addition and subtraction."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones."", ""Record teen numbers as ten ones and some more ones with a drawing or number sentence.""]","[K.Mod6.AD7] Solve add to, take from, put together, and take apart with result unknown story problems with 10 as one of the parts by using addition and subtraction. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones. [K.Mod6.AD9] Record teen numbers as ten ones and some more ones with a drawing or number sentence.",Students listen to a series of story problems and determine a solution pathway. They model each problem first by drawing and then by writing an addition or subtraction number sentence as a class.
GK-M6-L11,K,6,11,Represent teen number decompositions as 10 ones and some ones and find a hidden part.,Represent teen number decompositions as 10 ones and some ones and find a hidden part.,I can use tools to break apart a number greater than 10 into 10 ones and some ones. I can find the hidden part.,"Listen to a story problem and orally explain strategies for finding the hidden part, including the use of math tools. Orally explain the relationship between the total and parts in a story problem by using a number bond and a number sentence.",How can tools help you find a hidden part?,Place and Position of Numbers Model with Numbers,K.OA.A.2; K.NBT.A.1,"[""K.OA.A.2"", ""K.NBT.A.1""]","[""K.Mod6.AD7"", ""K.Mod6.AD8"", ""K.Mod6.AD9""]","[""Solve add to, take from, put together, and take apart with result unknown story problems with 10 as one of the parts by using addition and subtraction."", ""Compose and decompose teen numbers 11 to 19 as ten ones and some more ones."", ""Record teen numbers as ten ones and some more ones with a drawing or number sentence.""]","[K.Mod6.AD7] Solve add to, take from, put together, and take apart with result unknown story problems with 10 as one of the parts by using addition and subtraction. [K.Mod6.AD8] Compose and decompose teen numbers 11 to 19 as ten ones and some more ones. [K.Mod6.AD9] Record teen numbers as ten ones and some more ones with a drawing or number sentence.","This lesson reinforces place value concepts as students find a hidden part within teen numbers. Based on their understanding of the structure of teen numbers as 10 ones and some ones, students are able to figure out the hidden part. They model problems with various tools and by writing number sentences."
GK-M6-L12,K,6,12,Investigate different ways to decompose teen numbers.,Investigate different ways to decompose teen numbers.,I can break apart numbers in different ways. I can write a number sentence to match.,Orally analyze the relationship between container size and the number of containers. Orally justify why teen numbers do not always have to be decomposed into 10 ones and some more ones.,Does 10 always have to be a part when we decompose teen numbers? How do you know?,How Many? Bigger or Equal? Place and Position of Numbers,K.CC.B.5,"[""K.CC.B.5""]","[""K.Mod6.AD5""]","[""Count to answer how many questions about as many as 20 things arranged in a line, a rectangular array, or a circle configuration.""]","[K.Mod6.AD5] Count to answer how many questions about as many as 20 things arranged in a line, a rectangular array, or a circle configuration.",This optional lesson provides a doughnut shop context that invites students to decompose teen numbers in many different ways. They see that 10 is not always one part. Students explore basic area concepts as they consider different ways to fit doughnuts into boxes of varied sizes.
GK-M6-L13,K,6,13,"Organize, count, and represent a collection of objects.","Organize, count, and represent a collection of objects.",I can use groups to count and record a collection of things.,"Listen to and orally describe strategies to organize, count, and record a collection of objects, including making groups of 2 or groups of 10.",How can you group objects to make counting easier?,How Many? Place and Position of Numbers,K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5,"[""K.CC.A.1"", ""K.CC.A.2"", ""K.CC.A.3"", ""K.CC.B.4"", ""K.CC.B.5""]","[""""]","[""This lesson supports K.CC.1\u20135, the counting and writing numeral standards. These concepts build from the work in module 1 and get more sophisticated as the counting quantities get larger in subsequent modules. This content is intended to serve as a formative assessment and is therefore not included on summative assessments in this module.""]","This lesson supports K.CC.1–5, the counting and writing numeral standards. These concepts build from the work in module 1 and get more sophisticated as the counting quantities get larger in subsequent modules. This content is intended to serve as a formative assessment and is therefore not included on summative assessments in this module.",This lesson invites students to count and record a collection of objects by using tools and strategies of their choice. Students demonstrate and celebrate growth with counting concepts and written recordings while teachers gather formative assessment data. Class discussion focuses on how to use groups to make counting easier. There is no Fluency component in this lesson.
GK-M6-L14,K,6,14,Count by tens.,Count by tens.,I can count by tens and write the total.,Orally describe ways to organize tools to count by ones and tens. Orally justify why it is more efficient to count by tens in certain situations.,When is counting by tens helpful?,How Many?,K.CC.A.1,"[""K.CC.A.1""]","[""K.Mod6.AD1""]","[""Count to 100 by ones and tens.""]",[K.Mod6.AD1] Count to 100 by ones and tens.,Students make rekenrek bracelets with exactly 10 beads. They use their bracelets as tools to count by ones and tens. This lesson reinforces the efficiency of counting by tens rather than ones in certain situations.
GK-M6-L15,K,6,15,Count by tens by using math tools.,Count by tens by using math tools.,I can use tools to count by tens and ones.,Orally describe patterns to determine missing numbers in a sequence. Orally justify when to count by tens and when to count by ones by explaining how efficient or precise each unit is in a given counting situation.,How do you decide whether to count by tens or ones?,How Many?,K.CC.A.1,"[""K.CC.A.1""]","[""K.Mod6.AD1""]","[""Count to 100 by ones and tens.""]",[K.Mod6.AD1] Count to 100 by ones and tens.,Students search for math tools that allow them to easily see and count by tens. They model numbers by using ones or tens and decide which unit to use by thinking about the efficiency and precision of each type of counting. A Math Past exploration of infinity appeals to students’ curiosity about counting beyond 100.
