kind,stem_id,other_stem,standard_id,concept_id,node_id,score,detail
node_no_concept,ADD,,,,ADD-0019,,Rename fractions greater than 1 as mixed numbers and mixed numbers as fractions.
node_no_concept,ADD,,,,ADD-0020,,Add fractions with like denominators.
node_no_concept,ADD,,,,ADD-0021,,Add fractions with unlike denominators.
node_no_concept,ADD,,,,ADD-0022,,Subtract fractions with like denominators.
node_no_concept,ADD,,,,ADD-0024,,Add decimals by using a number line.
node_no_concept,ADD,,,,ADD-0025,,"Add decimals by using the standard algorithm.
(Currently no decimal computation in a G6+ stem.)"
node_no_concept,ADD,,,,ADD-0026,,Subtract decimals by using a number line.
node_no_concept,ANG,,,,ANG-0001,,Make and describe turns.
node_no_concept,ANG,,,,ANG-0002,,Identify square corners.
node_no_concept,ANG,,,,ANG-0003,,Compare corners and find same-size corners.
node_no_concept,ANG,,,,ANG-0004,,"Identify, draw, and name points, lines, line segments, and rays."
node_no_concept,ANG,,,,ANG-0005,,"Identify, draw, and name angles."
node_no_concept,ANG,,,,ANG-0006,,Relate an angle to a fractional turn through a circle.
node_no_concept,ANG,,,,ANG-0008,,Measure angles.
node_no_concept,ANG,,,,ANG-0010,,Classify angles by their degree measures.
node_no_concept,ANG,,,,ANG-0011,,Use right angles to identify and draw perpendicular lines.
node_no_concept,COM,,,,COM-0005,,Order sets/groups of objects according to the number of objects in each set/groups.
node_no_concept,COM,,,,COM-0006,,Order lengths marked into units.
node_no_concept,COM,,,,COM-0011,,Compare two-digit numbers using place value relationships.
node_no_concept,COM,,,,COM-0012,,Compare multi-digit numbers using place value relationships.
node_no_concept,COM,,,,COM-0013,,Compare and order multi-digit numbers.
node_no_concept,COU,,,,COU-0001,,Say the numbers to 10 in the appropriate count sequence.
node_no_concept,COU,,,,COU-0002,,Say one number name with each object when counting up to 10 objects.
node_no_concept,COU,,,,COU-0003,,Say how many objects are in a group of up to 10 objects by using the last number of a count.
node_no_concept,COU,,,,COU-0004,,Represent a group of up to 10 objects with a numeral.
node_no_concept,COU,,,,COU-0005,,Represent a group of zero objects with the numeral 0.
node_no_concept,COU,,,,COU-0007,,Count a group of 11-20 objects to tell how many objects are in the group.
node_no_concept,COU,,,,COU-0008,,Represent a group of 11-20 objects with a numeral.
node_no_concept,COU,,,,COU-0010,,Count a group of more than 20 objects to tell how many objects are in the group.
node_no_concept,COU,,,,COU-0011,,Represent a group of more than 20 objects with a numeral.
