Rows where neither concept_standards nor the category route named any
stem (§5 rule 6). Ruled: surfaced here, not chased (session brief §8).

952 rows.

band   sheet                        code                
None   Florida                      FL.912.F.3.7
None   Florida                      FL.912.F.3.8
None   Florida                      FL.912.F.3.9
None   Florida                      FL.912.FL.1.1
None   Florida                      FL.912.FL.1.2
None   Florida                      FL.912.FL.1.3
None   Florida                      FL.912.FL.2.1
None   Florida                      FL.912.FL.2.2
None   Florida                      FL.912.FL.2.3
None   Florida                      FL.912.FL.2.4
None   Florida                      FL.912.FL.2.5
None   Florida                      FL.912.FL.2.6
None   Florida                      FL.912.FL.3.1
None   Florida                      FL.912.FL.3.10
None   Florida                      FL.912.FL.3.11
None   Florida                      FL.912.FL.3.12
None   Florida                      FL.912.FL.3.3
None   Florida                      FL.912.FL.3.5
None   Florida                      FL.912.FL.3.6
None   Florida                      FL.912.FL.3.7
None   Florida                      FL.912.FL.3.8
None   Florida                      FL.912.FL.3.9
None   Florida                      FL.912.FL.4.1
None   Florida                      FL.912.FL.4.2
None   Florida                      FL.912.FL.4.3
None   Florida                      FL.912.FL.4.4
None   Florida                      FL.912.FL.4.5
None   Florida                      FL.912.FL.4.6
None   Florida                      FL.912.GR.1.1
None   Florida                      FL.912.GR.1.2
None   Florida                      FL.912.GR.1.3
None   Florida                      FL.912.GR.1.4
None   Florida                      FL.912.GR.1.5
None   Florida                      FL.912.GR.1.6
None   Florida                      FL.912.GR.2.1
None   Florida                      FL.912.GR.2.2
None   Florida                      FL.912.GR.2.3
None   Florida                      FL.912.GR.2.4
None   Florida                      FL.912.GR.2.5
None   Florida                      FL.912.GR.2.6
None   Florida                      FL.912.GR.2.7
None   Florida                      FL.912.GR.2.8
None   Florida                      FL.912.GR.2.9
None   Florida                      FL.912.GR.3.1
None   Florida                      FL.912.GR.4.1
None   Florida                      FL.912.GR.4.2
None   Florida                      FL.912.GR.4.3
None   Florida                      FL.912.GR.4.4
None   Florida                      FL.912.GR.4.5
None   Florida                      FL.912.GR.4.6
None   Florida                      FL.912.GR.5.3
None   Florida                      FL.912.GR.6.1
None   Florida                      FL.912.GR.6.2
None   Florida                      FL.912.GR.6.3
None   Florida                      FL.912.GR.6.4
None   Florida                      FL.912.GR.6.5
None   Florida                      FL.912.GR.7.1
None   Florida                      FL.912.GR.7.2
None   Florida                      FL.912.GR.7.3
None   Florida                      FL.912.GR.7.4
None   Florida                      FL.912.GR.7.5
None   Florida                      FL.912.GR.7.6
None   Florida                      FL.912.GR.7.7
None   Florida                      FL.912.GR.7.8
None   Florida                      FL.912.GR.7.9
None   Florida                      FL.912.LT.1.1
None   Florida                      FL.912.LT.1.2
None   Florida                      FL.912.LT.1.3
None   Florida                      FL.912.LT.2.1
None   Florida                      FL.912.LT.2.2
None   Florida                      FL.912.LT.2.3
None   Florida                      FL.912.LT.2.4
None   Florida                      FL.912.LT.2.5
None   Florida                      FL.912.LT.2.6
None   Florida                      FL.912.LT.2.7
None   Florida                      FL.912.LT.3.1
None   Florida                      FL.912.LT.3.2
None   Florida                      FL.912.LT.3.3
None   Florida                      FL.912.LT.3.4
None   Florida                      FL.912.LT.4.1
None   Florida                      FL.912.LT.4.10
None   Florida                      FL.912.LT.4.2
None   Florida                      FL.912.LT.4.3
None   Florida                      FL.912.LT.4.4
None   Florida                      FL.912.LT.4.5
None   Florida                      FL.912.LT.4.6
None   Florida                      FL.912.LT.4.7
None   Florida                      FL.912.LT.4.8
None   Florida                      FL.912.LT.4.9
